id,question,answer,difficulty,bloom_taxonomy,grade,subject,type,topic,
150,what is the function of the skeletal system in the human body?,"The skeletal system provides support, protection for internal organs, movement, storage of minerals (such as calcium), and blood cell production (in the bone marrow).",medium,Understanding,6,Biology,Descriptive,Skeletal System,
434,explain the difference between inhalation and exhalation.,Inhalation is the process of breathing in oxygen-rich air while exhalation is the process of breathing out carbon dioxide-rich air.,medium,Understanding,6,Biology,Descriptive,Respiratory System,
20,choose the correct answer: the first part of the seedling to emerge during germination is the ____.,Radicle,easy,Remembering,6,Biology,MCQ,Plant Growth,
323,choose the correct answer: the part of the eye that controls the amount of light entering the eye is the ____,Iris,easy,Remembering,6,Physics,MCQ,Optics,
333,explain why objects moving at constant speed in a circular path are accelerating.,Objects moving at constant speed in a circular path are accelerating because their velocity (direction) is changing continuously due to the centripetal force acting towards the center of the circle.,medium,Understanding,6,Physics,Descriptive,Circular Motion,
157,choose the correct answer: the chemical digestion of proteins begins in the ____,Stomach,easy,Remembering,6,Biology,MCQ,Digestive System,
302,choose the correct answer: which of the following is a unit used to measure temperature?,Celsius,easy,Remembering,6,Physics,MCQ,Temperature,
130,choose the correct answer: a material that allows light to pass through but scatters it is called ____,Translucent,easy,Remembering,6,Physics,MCQ,Optics,
332,choose the correct answer: which of the following is a vector quantity?,Force,easy,Remembering,6,Physics,MCQ,Vectors,
83,describe the function of red blood cells in the circulatory system.,Red blood cells carry oxygen from the lungs to all parts of the body and transport carbon dioxide back to the lungs.,easy,Understanding,6,Biology,Descriptive,Circulatory System,
88,what is adaptation in biology?,Adaptation is the process by which organisms adjust to their environment to increase their chances of survival and reproduction.,medium,Understanding,6,Biology,Descriptive,Evolution,
424,choose the correct answer: monocotyledonous seeds have ____,One cotyledon,easy,Remembering,6,Biology,MCQ,Plant Anatomy,
336,explain the difference between balanced and unbalanced forces.,Balanced forces do not cause a change in the motion of an object (net force is zero) while unbalanced forces cause a change in the motion of an object (net force is not zero).,medium,Understanding,6,Physics,Descriptive,Forces,
26,label the parts of the human digestive system: ____ ____ ____ ____ ____.,Mouth Esophagus Stomach Small Intestine Large Intestine,easy,Remembering,6,Biology,Fill in the blank,Digestive System,
465,what were the main objectives of the khilafat movement in india during the 1920s?,The Khilafat Movement aimed to support the Ottoman Caliphate and protect Muslim rights globally uniting Hindus and Muslims in India.,medium,Understanding,6,History,Descriptive,Indian Independence Movement,
282,what were the major events of the indian rebellion of 1857 and its outcomes?,The Indian Rebellion of 1857 was a widespread uprising against British rule leading to the end of the East India Company's rule and the beginning of direct British administration,medium,Understanding,6,History,Descriptive,Indian Independence Movement,
148,choose the correct answer: the female reproductive cell is called the ____,Egg or ovum,easy,Remembering,6,Biology,MCQ,Reproductive System,
